text,pred,label,msp,ood_score,cluster,x,y,z
Bindaas (Telugu: \u0c2c\u0c3f\u0c02\u0c26\u0c3e\u0c38\u0c4d) is a 2010 Telugu action film directed by Veeru Potla. The film stars Manoj Manchu and Sheena Shahabadi in the lead roles. Music of the film was launched on 9 November 2009. The movie released on February 5 2010. On March 27 2010 it had completed 50 Days in cinema halls. It is reported to have made over 14 crores worldwide. It was dubbed and released in Malayalam as Happy 2 Happy.,2,12,0.8963379265689937,0.1696476427873645,11,-0.051422216,-0.32251403,0.2939572
Juraj Pil\u00e1t (born 2 February 1992) is a Slovak football midfielder who currently plays for the Slovak Corgo\u0148 Liga club FC ViOn Zlat\u00e9 Moravce.,3,3,0.9997082708748783,0.0002329783581614,3,0.5490076,-0.6215061,-0.38211817
Joey Belladonna (born Joseph Bellardini October 13 1960 Oswego New York) is a thrash metal musician best known as the vocalist for the thrash metal band Anthrax. He is also the vocalist and drummer of the cover band Chief Big Way.,2,2,0.9997619483446808,0.0001450058299179,8,0.20383887,0.061164983,-0.2547561
Hask\u00f6y is a village in the District of Nazilli Ayd\u0131n Province Turkey. As of 2010 it had a population of 1015 people.,1,8,0.9990688383441438,0.0012809505628292,2,-0.015186865,0.5195149,0.011391109
John Harmen Marburger III (February 8 1941 \u2013 July 28 2011) was an American physicist who directed the Office of Science and Technology Policy in the administration of President George W. Bush serving as the Science Advisor to the President.,2,4,0.9850296828030456,0.0242898593638532,0,0.22377856,0.5435659,-0.15744315
The Canadair CT-133 Silver Star (company model number CL-30) was the Canadian license-built version of the Lockheed T-33 Shooting Star jet trainer aircraft in service from the 1950s to 2005. The Canadian version was powered by the Rolls-Royce Nene 10 turbojet whereas the Lockheed production used the Allison J33.,0,5,0.9995699154681376,0.0004597303822777,4,0.24099101,-0.46924007,0.39742857
Aliabad-e Mowqufeh (Persian: \u0639\u0644\u064a \u0627\u0628\u0627\u062f\u0645\u0648\u0642\u0648\u0641\u0647\u200e also Romanized as \u2018Al\u012b\u0101b\u0101d-e Mowq\u016bfeh; also known as \u2018Al\u012b\u0101b\u0101d) is a village in Koleyn Rural District Fashapuyeh District Rey County Tehran Province Iran. At the 2006 census its population was 95 in 20 families.,1,8,0.9995160337052604,0.0005480377284318,2,-0.069910005,0.065242104,0.06570127
Myristica byssacea is a species of plant in the Myristicaceae family. It is endemic to Papua New Guinea.,0,10,0.9434548153498904,0.0924273147003923,13,-0.5132367,0.13818447,0.15105373
Mistborn: The Well of Ascension is the second novel in Brandon Sanderson's Mistborn trilogy.,2,13,0.9988540311703789,0.0016330001327977,1,-0.24293065,0.3280612,-0.5012884
Bicycle Technologies International Ltd. (BTI) is a global distributor of bicycle components and accessories based in Santa Fe NM USA. BTI also participates in the community through cycling advocacy on local and national levels. The company is privately held and does not disclose its sales figures.,0,0,0.9997372262041224,0.000185523186949,4,0.20599246,-0.45957956,0.19100405
